lean	ocaml	recursive	Code.let	Code.fun	Code.jp	Code.jmp	Code.cases	Code.return	Code.unreach	LetValue.lit	LetValue.erased	LetValue.proj	LetValue.const	LetValue.fvar	LitValue.nat	LitValue.str	LitValue.uint8	LitValue.uint16	LitValue.uint32	LitValue.uint64	LitValue.usize	Arg.erased	Arg.fvar	Arg.type	Alt.alt	Alt.default	DeclValue.code	DeclValue.extern	declHash
Effect4.Api.run	api_run	false	6	0	0	0	0	1	0	0	0	0	6	0	0	0	0	0	0	0	0	10	10	0	0	0	1	0	1435485393349871130
Effect4.Api.replay	api_replay	false	12	0	0	0	1	3	0	0	0	0	12	0	0	0	0	0	0	0	0	2	23	0	3	0	1	0	3320531226156621470
Effect4.Machine.stepDecisionState._redArg	step_decision_state	false	56	0	2	4	14	12	0	2	0	0	53	1	2	0	0	0	0	0	0	116	158	0	27	0	1	0	860287767653927097
Effect4.Machine.driveState._redArg	drive_state	true	11	0	0	0	5	4	0	2	0	0	9	0	2	0	0	0	0	0	0	8	32	0	8	0	1	0	12288527749498995001
Effect4.Machine.settled._redArg	settled	false	2	0	0	0	4	3	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	6	0	1	0	13595155793738186080
Effect4.Machine.FnName.total	fn_name_total	false	6	0	1	2	4	6	0	2	0	0	4	0	2	0	0	0	0	0	0	0	8	0	6	4	1	0	12741899710592536063
Effect4.Machine.FnName.partialUpdate	fn_name_partial_update	false	9	0	0	0	3	5	0	1	0	0	8	0	1	0	0	0	0	0	0	5	7	0	4	3	1	0	17583358025737998475
Effect4.Machine.FnName.modify	fn_name_modify	false	6	0	1	2	2	2	0	1	0	0	5	0	1	0	0	0	0	0	0	4	13	0	2	2	1	0	17436298346736581601
Effect4.Machine.FnName.modifySome	fn_name_modify_some	false	5	0	0	0	2	2	0	0	0	0	5	0	0	0	0	0	0	0	0	6	7	0	2	1	1	0	15199763769077543110
Effect4.Scope.make._redArg	scope_make	false	2	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	14	2	0	0	0	1	0	13996168977159194168
Effect4.Scope.fork._redArg	scope_fork	false	8	0	0	0	1	2	0	0	0	0	8	0	0	0	0	0	0	0	0	18	17	0	2	0	1	0	561688096272143617
Effect4.Machine.RunFiber.make._redArg	run_fiber_make	false	8	0	0	0	2	1	0	1	0	0	6	1	1	0	0	0	0	0	0	20	18	0	2	0	1	0	17350230314552396264
Effect4.Machine.emptyCtx	empty_ctx	false	4	0	0	0	0	1	0	1	0	0	3	0	1	0	0	0	0	0	0	1	3	0	0	0	1	0	13879202924284214584
Effect4.Program.compile	program_compile	false	2	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	4	0	0	0	1	0	5239775195872838985
Effect4.Machine.stores	stores	false	54	0	0	0	0	1	0	0	0	0	54	0	0	0	0	0	0	0	0	18	54	0	0	0	1	0	5021460356524469438
Effect4.Program.Node.child._redArg	program_node_child	false	211	0	8	28	60	75	0	52	0	0	159	0	52	0	0	0	0	0	0	107	196	0	147	7	1	0	1789144901986743092
Effect4.Api.evaluate	api_evaluate	false	2	0	0	0	0	1	0	1	0	0	1	0	1	0	0	0	0	0	0	7	1	0	0	0	1	0	6503242508184499272
Effect4.Program.interpOf	program_interp_of	false	56	0	0	0	0	1	0	0	0	0	56	0	0	0	0	0	0	0	0	18	67	0	0	0	1	0	18321761907653015333
Effect4.Machine.replayEval._at_.Effect4.Program.replayCheckedFrom.spec_0	replay_eval_at_program_replay_checked_from_spec_0	true	10	0	0	0	8	6	0	0	0	0	10	0	0	0	0	0	0	0	0	60	22	0	13	0	1	0	13677888701515080893
Effect4.Api.frontierReasons	api_frontier_reasons	false	19	0	1	2	3	3	0	0	0	0	19	0	0	0	0	0	0	0	0	7	22	0	6	0	1	0	4455449711076460887
Effect4.Machine.fireState._redArg	fire_state	false	14	0	0	0	3	2	0	0	0	0	14	0	0	0	0	0	0	0	0	35	41	0	4	0	1	0	7223048720904292938
Effect4.Machine.flushAllState._redArg	flush_all_state	true	14	0	0	0	9	7	0	2	0	0	12	0	2	0	0	0	0	0	0	10	35	0	15	0	1	0	8855095244146628141
Effect4.Machine.stepDecisionState.loop._redArg	step_decision_state_loop	false	2	0	0	0	1	1	0	0	0	0	2	0	0	0	0	0	0	0	0	2	3	0	1	0	1	0	1050575363077463747
Effect4.Machine.stepDecisionState._redArg._lam_0	step_decision_state__red_arg__lam_0	false	2	0	0	0	1	1	0	0	0	0	2	0	0	0	0	0	0	0	0	11	17	0	1	0	1	0	12203130330094665745
Effect4.Machine.RunMachine.modify._redArg	run_machine_modify	false	3	0	0	0	1	2	0	0	0	0	2	1	0	0	0	0	0	0	0	0	5	0	2	0	1	0	2050510441136222151
Effect4.Machine.prepareAsyncAnswer._redArg	prepare_async_answer	false	10	0	1	3	8	2	0	0	0	0	7	3	0	0	0	0	0	0	0	5	16	0	11	0	1	0	9187717373216121854
Effect4.Machine.interruptRecord._redArg	interrupt_record	false	22	0	1	2	7	4	0	0	0	0	15	7	0	0	0	0	0	0	0	39	80	0	11	0	1	0	14458359603500388872
Effect4.Machine.advanceState._redArg	advance_state	true	24	0	0	0	12	6	0	2	0	0	21	1	2	0	0	0	0	0	0	43	74	0	17	0	1	0	268179112700351466
Effect4.Machine.driveStep._redArg	drive_step	false	205	0	4	8	72	46	0	2	0	0	189	14	2	0	0	0	0	0	0	446	587	0	119	2	1	0	3586576727413540105
Effect4.Scope.closingExit?._redArg	scope_closing_exit_opt	false	1	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	15970080174521194172
Effect4.Scope.addUnsafe._redArg	scope_add_unsafe	false	2	0	0	0	1	1	0	0	0	0	2	0	0	0	0	0	0	0	0	7	6	0	1	0	1	0	18020399837817758849
Effect4.Program.compileEff	program_compile_eff	true	89	0	1	3	17	35	0	2	0	0	87	0	1	0	1	0	0	0	0	161	117	0	48	5	1	0	13274814522809716433
Effect4.Machine.stores._lam_0	stores__lam_0	false	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	6772239859468006589
Effect4.Machine.stores._lam_1	stores__lam_1	false	2	0	0	0	0	1	0	1	0	0	1	0	0	0	1	0	0	0	0	0	2	0	0	0	1	0	7816976412296071060
Effect4.Machine.stores._lam_2	stores__lam_2	false	7	0	0	0	1	1	0	1	0	0	5	1	1	0	0	0	0	0	0	2	6	0	1	0	1	0	3930262317826403461
Effect4.Machine.stores._lam_3	stores__lam_3	false	2	0	0	0	0	1	0	1	0	0	1	0	0	0	1	0	0	0	0	0	2	0	0	0	1	0	6046741881267477358
Effect4.Machine.stores._lam_4	stores__lam_4	false	2	0	0	0	1	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	1	0	1	0	16955966122153328868
Effect4.Machine.stores._lam_5	stores__lam_5	false	5	0	0	0	2	1	0	0	0	0	5	0	0	0	0	0	0	0	0	3	12	0	2	0	1	0	3724034834686216824
Effect4.Machine.stores._lam_6	stores__lam_6	false	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	9041133021358016425
Effect4.Machine.stores._lam_7	stores__lam_7	false	4	0	0	0	1	2	0	0	0	0	4	0	0	0	0	0	0	0	0	7	3	0	1	1	1	0	8204298460688205698
Effect4.Machine.stores._lam_8	stores__lam_8	false	2	0	0	0	1	2	0	0	0	0	2	0	0	0	0	0	0	0	0	4	1	0	1	1	1	0	12549068310898512902
Effect4.Machine.stores._lam_9	stores__lam_9	false	10	0	0	0	1	3	0	0	0	0	10	0	0	0	0	0	0	0	0	17	13	0	2	1	1	0	16738833237370536842
Effect4.Machine.stores._lam_10	stores__lam_10	false	3	0	0	0	0	1	0	0	0	0	3	0	0	0	0	0	0	0	0	9	2	0	0	0	1	0	5624460754307259298
Effect4.Machine.stores._lam_11	stores__lam_11	false	3	0	0	0	0	1	0	0	0	0	3	0	0	0	0	0	0	0	0	9	2	0	0	0	1	0	17301919143813159430
Effect4.Machine.stores._lam_12	stores__lam_12	false	3	0	0	0	0	1	0	0	0	0	3	0	0	0	0	0	0	0	0	7	4	0	0	0	1	0	5575207667950290644
Effect4.Machine.stores._lam_13	stores__lam_13	false	4	0	0	0	2	3	0	0	0	0	4	0	0	0	0	0	0	0	0	5	2	0	2	2	1	0	17791337157319573951
Effect4.Machine.stores._lam_14	stores__lam_14	false	2	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	7	2	0	0	0	1	0	10736005192604814123
