add_01_02	0.30000000000000004
add_01_02_bits	3fd3333333333334
add_01_02_eq_03	false
string_of_float_01	0.1
string_of_float_1	1.
string_of_float_neg0	-0.
printf_g_neg0	-0
printf_f_neg0	-0.0
neg0_bits	8000000000000000
neg0_eq_0	true
neg0_compare_0	0
one_div_neg0	-inf
nan_is_nan	true
nan_eq_nan	false
nan_compare_nan	0
nan_compare_1	-1
one_compare_nan	1
nan_lt_1	false
string_of_float_nan	nan
string_of_float_inf	inf
string_of_float_neginf	-inf
max_float	1.7976931348623157e+308
min_float	2.2250738585072014e-308
epsilon	2.2204460492503131e-16
float_of_string_rt	0.10000000000000001
int_of_float_big_fold	1000000000000000000
int_of_float_big_rt	1000000000000000000
int_of_float_small_rt	3
int_of_float_trunc_neg	-2
float_of_int_max	4.6116860184273879e+18
float_of_int_max_bits	43d0000000000000
float_of_string_rt_bits	3fb999999999999a
max_float_bits	7fefffffffffffff
min_float_bits	10000000000000
epsilon_bits	3cb0000000000000
inf_bits	7ff0000000000000
neginf_bits	fff0000000000000
nan_bits	7ff8000000000000
sqrt2_bits	3ff6a09e667f3bcd
float_tag	253
float_array_tag	254
